"","Pitch_Sequence_01","Pitch_Sequence_02","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"783","FB-L-I","CB-L-O",745,498,124,250,103,21,160,83,21,0.329731543624161,245.65
"784","FB-L-I","CB-M-I",248,169,31,85,40,13,59,17,5,0.295766129032258,73.35
"785","FB-L-I","CB-M-M",313,221,56,102,50,13,64,23,15,0.384504792332268,120.35
"786","FB-L-I","CB-M-O",494,354,75,177,87,15,106,33,12,0.314777327935223,155.5
"787","FB-L-I","CH-H-I",124,87,23,40,21,3,19,17,6,0.425806451612903,52.8
"788","FB-L-I","CH-H-M",275,217,63,81,55,18,35,23,10,0.372545454545455,102.45
"789","FB-L-I","CH-H-O",1461,1005,273,423,243,66,209,238,43,0.383812457221081,560.75
"790","FB-L-I","CH-L-I",1992,1356,322,605,337,92,339,288,68,0.374121485943775,745.25
"791","FB-L-I","CH-L-M",2429,1710,420,805,383,102,453,251,70,0.340489913544669,827.05
"792","FB-L-I","CH-L-O",3681,2582,552,1311,579,140,661,420,77,0.328552023906547,1209.4
"793","FB-L-I","CH-M-I",298,221,68,91,45,17,51,25,12,0.378020134228188,112.65
"794","FB-L-I","CH-M-M",591,482,128,206,102,46,80,24,39,0.418274111675127,247.2
"795","FB-L-I","CH-M-O",1763,1299,334,573,312,80,296,160,64,0.352580828133863,621.6
"796","FB-L-I","FB-H-I",3543,2435,657,952,519,307,712,353,100,0.322495060683037,1142.6
"797","FB-L-I","FB-H-M",2809,2009,582,784,450,193,572,210,95,0.327180491278035,919.05
"798","FB-L-I","FB-H-O",5176,3471,927,1501,783,260,898,788,156,0.369242658423493,1911.2
"799","FB-L-I","FB-L-I",7656,5263,1279,2445,1225,314,1235,1089,243,0.374209770114943,2864.95
"800","FB-L-I","FB-L-M",5259,3916,873,1970,885,188,826,499,149,0.355153070926032,1867.75
"801","FB-L-I","FB-L-O",6643,4741,984,2450,1108,199,1084,784,159,0.357609513773897,2375.6
"802","FB-L-I","FB-M-I",4476,3248,845,1359,726,318,771,424,140,0.343565683646113,1537.8
