"","Pitch_Sequence_01","Pitch_Sequence_02","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"838","FB-L-M","FB-L-O",7410,5299,1108,2807,1164,220,1423,658,154,0.314048582995951,2327.1
"839","FB-L-M","FB-M-I",2798,1986,495,892,422,177,612,186,83,0.304163688348821,851.05
"840","FB-L-M","FB-M-M",2369,1806,500,757,437,112,475,79,88,0.334423807513719,792.25
"841","FB-L-M","FB-M-O",5459,3928,925,1866,924,213,1130,384,123,0.31439824143616,1716.3
"842","FB-L-M","SL-H-I",489,333,73,142,77,41,114,35,12,0.309304703476483,151.25
"843","FB-L-M","SL-H-M",338,240,57,97,64,22,76,21,7,0.342899408284024,115.9
"844","FB-L-M","SL-H-O",595,369,99,172,79,19,154,72,17,0.31655462184874,188.35
"845","FB-L-M","SL-L-I",2670,1650,362,776,420,92,726,247,70,0.331835205992509,886
"846","FB-L-M","SL-L-M",986,655,132,321,169,33,250,77,20,0.331693711967546,327.05
"847","FB-L-M","SL-L-O",976,643,142,328,139,34,244,86,22,0.307479508196721,300.1
"848","FB-L-M","SL-M-I",866,611,157,263,126,65,200,48,23,0.292494226327945,253.3
"849","FB-L-M","SL-M-M",413,315,87,134,68,26,80,15,7,0.275181598062954,113.65
"850","FB-L-M","SL-M-O",613,402,105,192,80,25,171,37,13,0.305220228384992,187.1
"851","FB-L-M",NA,11734,11734,2753,5825,2862,294,0,0,496,0.410409919890915,4815.75
"852","FB-L-O","CB-H-I",142,85,24,41,15,5,38,18,3,0.308802816901408,43.85
"853","FB-L-O","CB-H-M",270,187,47,88,43,9,64,17,7,0.30462962962963,82.25
"854","FB-L-O","CB-H-O",1299,858,213,398,193,54,294,138,32,0.311585835257891,404.75
"855","FB-L-O","CB-L-I",2353,1431,311,700,347,73,631,247,58,0.320675733106672,754.55
"856","FB-L-O","CB-L-M",1628,1002,221,520,232,29,475,143,34,0.286332923832924,466.15
"857","FB-L-O","CB-L-O",2033,1377,274,721,321,61,496,152,40,0.28782587309395,585.15
"858","FB-L-O","CB-M-I",339,205,56,88,50,11,106,28,7,0.295575221238938,100.2
"859","FB-L-O","CB-M-M",516,342,86,161,76,19,150,20,20,0.310077519379845,160
"860","FB-L-O","CB-M-O",1261,853,206,423,183,41,331,76,28,0.295559080095163,372.7
"861","FB-L-O","CH-H-I",147,114,34,46,25,9,20,10,4,0.379931972789116,55.85
"862","FB-L-O","CH-H-M",407,295,87,124,62,22,84,28,23,0.335872235872236,136.7
"863","FB-L-O","CH-H-O",2739,1889,550,788,431,120,475,368,87,0.355987586710478,975.05
"864","FB-L-O","CH-L-I",2831,1875,451,875,440,109,555,383,75,0.351554221123278,995.25
"865","FB-L-O","CH-L-M",4233,2895,649,1413,662,171,890,429,118,0.331136309945665,1401.7
"866","FB-L-O","CH-L-O",9302,6345,1371,3177,1459,338,1968,953,188,0.308267039346377,2867.5
"867","FB-L-O","CH-M-I",308,220,55,102,45,18,68,17,9,0.304220779220779,93.7
"868","FB-L-O","CH-M-M",888,676,177,302,144,53,162,47,42,0.354673423423423,314.95
"869","FB-L-O","CH-M-O",3731,2720,697,1241,622,160,662,330,104,0.338756365585634,1263.9
"870","FB-L-O","FB-H-I",4055,2759,768,1080,605,306,885,344,118,0.320246609124538,1298.6
"871","FB-L-O","FB-H-M",3574,2473,710,983,573,207,816,265,96,0.300853385562395,1075.25
"872","FB-L-O","FB-H-O",10198,6679,1844,2809,1558,468,2124,1364,269,0.344047852520102,3508.6
"873","FB-L-O","FB-L-I",7005,4812,1150,2283,1149,230,1262,875,209,0.365653104925054,2561.4
"874","FB-L-O","FB-L-M",7283,5372,1308,2523,1302,239,1190,700,229,0.359391734175477,2617.45
"875","FB-L-O","FB-L-O",18963,13285,2857,6746,3144,538,3485,2123,394,0.340803142962611,6462.65
"876","FB-L-O","FB-M-I",4292,3071,792,1339,679,261,873,313,145,0.33151211556384,1422.85
"877","FB-L-O","FB-M-M",4065,3129,942,1245,735,207,743,175,146,0.345633456334563,1405
"878","FB-L-O","FB-M-O",12728,9014,2300,4126,2150,438,2455,1228,303,0.335414047768699,4269.15
"879","FB-L-O","SL-H-I",943,654,148,295,148,63,195,81,27,0.311505832449629,293.75
"880","FB-L-O","SL-H-M",620,399,111,145,108,35,181,39,21,0.291290322580645,180.6
"881","FB-L-O","SL-H-O",1218,786,197,344,199,46,273,153,14,0.314121510673235,382.6
"882","FB-L-O","SL-L-I",4235,2668,621,1294,618,135,1042,446,114,0.335029515938607,1418.85
"883","FB-L-O","SL-L-M",1757,1190,297,557,292,44,407,150,44,0.330506545247581,580.7
"884","FB-L-O","SL-L-O",2155,1402,301,691,344,66,526,222,44,0.320278422273782,690.2
"885","FB-L-O","SL-M-I",1431,994,254,426,235,79,323,108,38,0.316561844863732,453
"886","FB-L-O","SL-M-M",881,654,150,291,173,40,196,31,33,0.346538024971623,305.3
"887","FB-L-O","SL-M-O",1448,989,255,457,229,48,328,124,33,0.306008287292818,443.1
"888","FB-L-O",NA,13325,13325,2115,7904,3059,247,0,0,205,0.332236397748593,4427.05
"889","FB-M-I","CB-H-I",91,54,16,17,19,2,30,5,4,0.311538461538462,28.35
"890","FB-M-I","CB-H-M",170,109,22,51,27,9,54,6,5,0.275882352941176,46.9
"891","FB-M-I","CB-H-O",576,390,110,182,79,19,137,45,18,0.317100694444444,182.65
"892","FB-M-I","CB-L-I",1212,727,161,341,181,44,360,105,21,0.286221122112211,346.9
"893","FB-M-I","CB-L-M",624,415,85,222,94,14,158,48,9,0.272195512820513,169.85
"894","FB-M-I","CB-L-O",590,388,67,193,100,28,156,43,12,0.269745762711864,159.15
"895","FB-M-I","CB-M-I",205,127,33,51,36,7,63,11,3,0.283658536585366,58.15
"896","FB-M-I","CB-M-M",271,196,50,98,42,6,65,7,8,0.271771217712177,73.65
"897","FB-M-I","CB-M-O",426,283,53,152,63,15,119,23,11,0.288380281690141,122.85
"898","FB-M-I","CH-H-I",70,41,11,16,12,2,21,8,4,0.350714285714286,24.55
"899","FB-M-I","CH-H-M",188,135,38,46,39,12,43,10,5,0.352925531914894,66.35
"900","FB-M-I","CH-H-O",892,618,162,268,141,47,185,86,20,0.319394618834081,284.9
"901","FB-M-I","CH-L-I",1111,763,186,343,175,59,205,136,34,0.362376237623762,402.6
"902","FB-M-I","CH-L-M",1297,927,241,405,213,68,259,100,36,0.31603700848111,409.9
"903","FB-M-I","CH-L-O",2380,1619,352,822,350,95,534,217,61,0.313928571428571,747.15
"904","FB-M-I","CH-M-I",163,103,23,40,24,16,51,8,8,0.325153374233129,53
"905","FB-M-I","CH-M-M",336,258,84,94,56,24,61,16,14,0.316517857142857,106.35
"906","FB-M-I","CH-M-O",1142,849,207,395,192,55,208,75,31,0.31707530647986,362.1
"907","FB-M-I","FB-H-I",3451,2265,610,888,485,282,852,272,82,0.289104607360185,997.7
"908","FB-M-I","FB-H-M",2017,1348,388,510,315,135,535,121,54,0.287307882994546,579.5
"909","FB-M-I","FB-H-O",2917,1871,506,770,429,166,740,285,85,0.316746657524854,923.95
"910","FB-M-I","FB-L-I",3433,2266,594,1018,517,137,739,387,101,0.345120885522866,1184.8
"911","FB-M-I","FB-L-M",1666,1210,267,592,289,62,325,122,50,0.348199279711885,580.1
"912","FB-M-I","FB-L-O",2679,1863,409,931,422,101,536,259,62,0.322191116088093,863.15
"913","FB-M-I","FB-M-I",3055,2097,526,868,482,221,693,233,81,0.308003273322422,940.95
"914","FB-M-I","FB-M-M",1527,1124,290,495,262,77,337,60,58,0.331270464963982,505.85
"915","FB-M-I","FB-M-O",2285,1590,396,757,358,79,507,176,53,0.302144420131291,690.4
"916","FB-M-I","SL-H-I",536,371,79,167,75,50,128,32,9,0.2625,140.7
"917","FB-M-I","SL-H-M",294,208,56,93,40,19,72,12,11,0.329251700680272,96.8
"918","FB-M-I","SL-H-O",398,273,67,132,48,26,92,30,14,0.309924623115578,123.35
"919","FB-M-I","SL-L-I",2210,1319,314,593,316,96,672,173,56,0.294321266968326,650.45
"920","FB-M-I","SL-L-M",621,426,113,180,104,29,146,47,26,0.351932367149758,218.55
"921","FB-M-I","SL-L-O",550,362,75,206,62,19,134,51,15,0.306181818181818,168.4
"922","FB-M-I","SL-M-I",845,581,126,265,131,59,219,40,15,0.273254437869823,230.9
"923","FB-M-I","SL-M-M",342,248,65,120,53,10,79,13,12,0.312426900584795,106.85
"924","FB-M-I","SL-M-O",375,252,66,102,65,19,100,22,16,0.3308,124.05
"925","FB-M-I",NA,8242,8156,2262,2961,1827,1106,0,0,423,0.386095607862169,3182.2
"926","FB-M-M","CB-H-I",108,69,16,28,21,4,31,5,3,0.316666666666667,34.2
"927","FB-M-M","CB-H-M",200,129,27,56,34,12,59,7,5,0.26275,52.55
"928","FB-M-M","CB-H-O",736,505,129,235,107,34,190,38,12,0.264130434782609,194.4
"929","FB-M-M","CB-L-I",1346,829,176,399,212,42,405,86,31,0.290750371471025,391.35
"930","FB-M-M","CB-L-M",814,520,109,252,129,30,249,40,11,0.245823095823096,200.1
"931","FB-M-M","CB-L-O",762,513,105,280,108,20,208,38,8,0.240485564304462,183.25
"932","FB-M-M","CB-M-I",237,147,38,75,25,9,81,8,8,0.228059071729958,54.05
"933","FB-M-M","CB-M-M",285,194,48,89,48,9,84,6,7,0.279473684210526,79.65
"934","FB-M-M","CB-M-O",509,340,85,158,77,20,150,17,9,0.276915520628684,140.95
"935","FB-M-M","CH-H-I",56,41,9,19,8,5,11,3,3,0.294642857142857,16.5
"936","FB-M-M","CH-H-M",147,114,34,48,21,11,27,6,4,0.263945578231292,38.8
"937","FB-M-M","CH-H-O",925,667,157,300,151,59,189,65,23,0.31,286.75
"938","FB-M-M","CH-L-I",923,633,171,279,141,42,219,67,32,0.335698808234019,309.85
"939","FB-M-M","CH-L-M",1221,852,197,412,179,64,307,60,34,0.288124488124488,351.8
"940","FB-M-M","CH-L-O",2636,1865,405,926,413,121,612,147,49,0.287082701062216,756.75
"941","FB-M-M","CH-M-I",105,76,13,37,16,10,22,5,3,0.282857142857143,29.7
"942","FB-M-M","CH-M-M",266,209,52,98,42,17,54,3,9,0.284774436090226,75.75
"943","FB-M-M","CH-M-O",1062,800,199,362,188,51,221,37,24,0.286911487758945,304.7
"944","FB-M-M","FB-H-I",2699,1718,468,661,383,206,772,171,68,0.275287143386439,743
"945","FB-M-M","FB-H-M",1771,1126,336,408,265,117,565,69,46,0.262591756070017,465.05
"946","FB-M-M","FB-H-O",3226,2039,551,904,422,162,967,195,91,0.276720396776193,892.7
"947","FB-M-M","FB-L-I",2358,1627,377,768,379,103,569,141,56,0.312150127226463,736.05
"948","FB-M-M","FB-L-M",1411,1008,246,485,247,30,351,48,28,0.282600992204111,398.75
"949","FB-M-M","FB-L-O",2828,1952,431,977,446,98,728,130,44,0.282142857142857,797.9
"950","FB-M-M","FB-M-I",2311,1604,384,710,351,159,586,96,58,0.288944180008654,667.75
"951","FB-M-M","FB-M-M",1150,816,235,338,186,57,309,21,39,0.311521739130435,358.25
"952","FB-M-M","FB-M-O",2638,1766,420,801,459,86,762,100,57,0.278108415466262,733.65
"953","FB-M-M","SL-H-I",505,350,84,156,69,41,125,22,8,0.244653465346535,123.55
"954","FB-M-M","SL-H-M",309,208,48,91,56,13,83,16,4,0.286084142394822,88.4
"955","FB-M-M","SL-H-O",534,363,93,141,98,31,143,25,11,0.2937265917603,156.85
"956","FB-M-M","SL-L-I",1909,1207,291,571,282,63,561,120,49,0.296883184913567,566.75
"957","FB-M-M","SL-L-M",622,431,93,217,101,20,161,27,11,0.283922829581994,176.6
"958","FB-M-M","SL-L-O",647,417,86,209,99,23,183,41,15,0.306491499227202,198.3
"959","FB-M-M","SL-M-I",724,504,122,219,114,49,184,25,13,0.279488950276243,202.35
"960","FB-M-M","SL-M-M",320,237,77,103,45,12,77,5,13,0.30140625,96.45
"961","FB-M-M","SL-M-O",428,293,66,144,71,12,114,20,6,0.304906542056075,130.5
"962","FB-M-M",NA,13007,13007,4254,4734,3189,830,0,0,853,0.443422772353348,5767.6
"963","FB-M-O","CB-H-I",160,117,23,56,32,6,34,9,5,0.268125,42.9
"964","FB-M-O","CB-H-M",389,255,66,109,63,17,111,19,10,0.273007712082262,106.2
"965","FB-M-O","CB-H-O",1740,1146,311,464,296,75,431,154,34,0.305258620689655,531.15
"966","FB-M-O","CB-L-I",2358,1444,311,715,331,87,664,214,44,0.297094995759118,700.55
"967","FB-M-O","CB-L-M",1752,1135,240,596,244,55,503,106,31,0.258618721461187,453.1
"968","FB-M-O","CB-L-O",2064,1398,320,691,320,67,526,133,33,0.270251937984496,557.8
"969","FB-M-O","CB-M-I",369,240,51,120,56,13,101,25,14,0.330081300813008,121.8
"970","FB-M-O","CB-M-M",667,467,118,233,90,26,169,29,18,0.293328335832084,195.65
"971","FB-M-O","CB-M-O",1365,910,195,443,224,48,371,79,25,0.302124542124542,412.4
"972","FB-M-O","CH-H-I",116,76,21,26,17,12,24,14,3,0.30301724137931,35.15
"973","FB-M-O","CH-H-M",392,278,66,130,52,30,87,24,11,0.274872448979592,107.75
"974","FB-M-O","CH-H-O",2873,1971,572,802,467,130,575,315,72,0.331047685346328,951.1
"975","FB-M-O","CH-L-I",2315,1507,380,692,339,96,516,274,64,0.337883369330454,782.2
"976","FB-M-O","CH-L-M",3491,2430,584,1124,549,173,747,300,93,0.317588083643655,1108.7
"977","FB-M-O","CH-L-O",7843,5487,1242,2695,1224,326,1679,640,160,0.293095754175698,2298.75
"978","FB-M-O","CH-M-I",310,220,52,102,50,16,61,27,13,0.39,120.9
"979","FB-M-O","CH-M-M",769,600,172,241,147,40,140,28,30,0.366514954486346,281.85
"980","FB-M-O","CH-M-O",3660,2671,645,1203,642,181,715,265,84,0.303155737704918,1109.55
"981","FB-M-O","FB-H-I",5176,3487,911,1388,768,420,1237,366,139,0.302067233384853,1563.5
"982","FB-M-O","FB-H-M",4227,2838,832,1099,634,273,1142,225,113,0.284102200141945,1200.9
"983","FB-M-O","FB-H-O",11098,7151,1954,3033,1636,528,2655,1250,240,0.315115336096594,3497.15
"984","FB-M-O","FB-L-I",5305,3595,842,1690,841,222,1122,534,141,0.324797360980207,1723.05
"985","FB-M-O","FB-L-M",4717,3431,884,1591,803,153,926,344,127,0.331524273902904,1563.8
"986","FB-M-O","FB-L-O",11987,8267,1899,4081,1877,410,2511,1170,228,0.314357220322016,3768.2
"987","FB-M-O","FB-M-I",4478,3139,819,1320,697,303,1029,278,108,0.300703439035284,1346.55
"988","FB-M-O","FB-M-M",3583,2623,744,1057,636,186,795,143,131,0.323639408317053,1159.6
"989","FB-M-O","FB-M-O",10801,7321,1805,3326,1736,454,2490,944,204,0.308309415794834,3330.05
"990","FB-M-O","SL-H-I",1129,776,169,331,171,105,266,68,29,0.301594331266608,340.5
"991","FB-M-O","SL-H-M",739,505,123,195,130,57,180,51,25,0.311772665764547,230.4
"992","FB-M-O","SL-H-O",1523,981,270,409,229,73,392,146,37,0.308371634931057,469.65
"993","FB-M-O","SL-L-I",3968,2450,608,1138,550,154,1072,397,98,0.31882560483871,1265.1
"994","FB-M-O","SL-L-M",1601,1084,256,513,263,52,411,100,48,0.311305434103685,498.4
"995","FB-M-O","SL-L-O",1836,1229,309,570,282,68,445,158,43,0.303295206971678,556.85
"996","FB-M-O","SL-M-I",1532,1056,264,455,237,100,374,90,46,0.310966057441253,476.4
"997","FB-M-O","SL-M-M",818,620,168,253,150,49,167,25,31,0.346882640586797,283.75
"998","FB-M-O","SL-M-O",1447,927,253,411,207,56,395,116,30,0.300967519004838,435.5
"999","FB-M-O",NA,17023,17023,4439,7856,4164,564,0,0,581,0.386227456969982,6574.75
"1000","SL-H-I","CB-H-I",20,13,3,9,1,0,5,2,1,0.3225,6.45
"1001","SL-H-I","CB-H-M",33,23,8,10,3,2,6,3,1,0.363636363636364,12
"1002","SL-H-I","CB-H-O",138,79,17,53,6,3,35,24,2,0.309420289855072,42.7
"1003","SL-H-I","CB-L-I",169,113,26,59,24,4,46,9,2,0.239349112426036,40.45
"1004","SL-H-I","CB-L-M",147,94,27,45,13,9,41,11,1,0.195578231292517,28.75
"1005","SL-H-I","CB-L-O",146,106,21,51,27,7,30,9,4,0.321575342465753,46.95
"1006","SL-H-I","CB-M-I",46,31,8,14,7,2,14,1,1,0.234782608695652,10.8
"1007","SL-H-I","CB-M-M",42,34,6,19,5,4,8,0,0,0.269047619047619,11.3
"1008","SL-H-I","CB-M-O",128,84,22,38,20,4,30,13,3,0.305859375,39.15
"1009","SL-H-I","CH-H-I",9,7,1,4,1,1,2,0,0,0.138888888888889,1.25
"1010","SL-H-I","CH-H-M",33,25,9,8,6,2,7,1,3,0.278787878787879,9.2
"1011","SL-H-I","CH-H-O",232,156,42,65,32,17,36,39,10,0.383405172413793,88.95
"1012","SL-H-I","CH-L-I",170,106,27,48,23,8,33,25,5,0.367058823529412,62.4
"1013","SL-H-I","CH-L-M",229,159,45,73,33,8,47,21,4,0.303711790393013,69.55
"1014","SL-H-I","CH-L-O",505,339,67,171,79,22,99,63,8,0.308019801980198,155.55
"1015","SL-H-I","CH-M-I",27,20,3,9,7,1,3,4,0,0.32962962962963,8.9
"1016","SL-H-I","CH-M-M",69,61,22,18,13,8,6,2,5,0.384057971014493,26.5
"1017","SL-H-I","CH-M-O",267,206,49,89,54,14,33,26,7,0.376779026217228,100.6
"1018","SL-H-I","FB-H-I",538,365,98,141,78,48,117,49,16,0.29907063197026,160.9
"1019","SL-H-I","FB-H-M",349,226,78,77,38,33,94,27,9,0.289684813753582,101.1
"1020","SL-H-I","FB-H-O",665,427,134,149,108,36,149,84,25,0.37609022556391,250.1
"1021","SL-H-I","FB-L-I",385,270,74,119,64,13,76,37,14,0.353506493506493,136.1
"1022","SL-H-I","FB-L-M",239,172,51,71,40,10,47,19,6,0.30397489539749,72.65
"1023","SL-H-I","FB-L-O",496,364,86,163,88,27,85,42,11,0.326008064516129,161.7
"1024","SL-H-I","FB-M-I",396,264,69,108,59,28,89,41,12,0.334217171717172,132.35
"1025","SL-H-I","FB-M-M",226,170,51,63,41,15,47,6,5,0.291371681415929,65.85
"1026","SL-H-I","FB-M-O",472,343,98,135,85,25,97,27,21,0.345550847457627,163.1
"1027","SL-H-I","SL-H-I",713,467,98,190,103,76,147,78,18,0.311921458625526,222.4
"1028","SL-H-I","SL-H-M",311,212,51,79,66,16,69,28,8,0.355948553054662,110.7
"1029","SL-H-I","SL-H-O",314,199,54,81,43,21,67,47,8,0.279777070063694,87.85
"1030","SL-H-I","SL-L-I",829,507,118,226,121,42,214,97,26,0.333655006031363,276.6
"1031","SL-H-I","SL-L-M",199,135,23,70,30,12,43,21,5,0.319849246231156,63.65
"1032","SL-H-I","SL-L-O",173,114,30,64,14,6,37,22,7,0.276589595375723,47.85
"1033","SL-H-I","SL-M-I",674,465,100,206,111,48,150,52,19,0.310385756676558,209.2
"1034","SL-H-I","SL-M-M",200,143,41,63,30,9,50,7,9,0.355,71
"1035","SL-H-I","SL-M-O",195,152,36,67,39,10,33,9,7,0.378205128205128,73.75
"1036","SL-H-I",NA,1474,1394,272,560,261,301,0,0,43,0.328290366350068,483.9
"1037","SL-H-M","CB-H-I",12,10,2,5,3,0,1,1,0,0.283333333333333,3.4
"1038","SL-H-M","CB-H-M",26,15,8,2,3,2,10,1,1,0.207692307692308,5.4
"1039","SL-H-M","CB-H-O",147,87,18,43,18,8,44,16,5,0.293537414965986,43.15
"1040","SL-H-M","CB-L-I",162,97,19,48,23,7,44,20,2,0.302777777777778,49.05
"1041","SL-H-M","CB-L-M",113,81,20,42,16,3,25,7,1,0.288053097345133,32.55
"1042","SL-H-M","CB-L-O",131,87,20,45,18,4,35,9,3,0.288549618320611,37.8
"1043","SL-H-M","CB-M-I",35,26,5,16,3,2,9,0,1,0.237142857142857,8.3
"1044","SL-H-M","CB-M-M",47,33,8,12,8,5,12,2,2,0.340425531914894,16
"1045","SL-H-M","CB-M-O",97,70,16,30,19,5,21,3,2,0.221649484536082,21.5
"1046","SL-H-M","CH-H-I",10,8,4,4,0,0,0,1,0,0.32,3.2
"1047","SL-H-M","CH-H-M",27,20,5,9,4,2,5,1,2,0.2,5.4
"1048","SL-H-M","CH-H-O",224,143,31,66,37,9,50,30,7,0.315625,70.7
"1049","SL-H-M","CH-L-I",151,95,21,45,24,5,37,18,8,0.374834437086093,56.6
"1050","SL-H-M","CH-L-M",207,151,45,65,32,9,39,17,5,0.338164251207729,70
"1051","SL-H-M","CH-L-O",419,285,62,145,60,18,103,26,9,0.280429594272076,117.5
"1052","SL-H-M","CH-M-I",27,22,7,9,5,1,4,1,1,0.318518518518519,8.6
"1053","SL-H-M","CH-M-M",50,43,9,19,12,3,5,2,2,0.402,20.1
"1054","SL-H-M","CH-M-O",218,166,37,82,32,15,39,13,6,0.314220183486239,68.5
"1055","SL-H-M","FB-H-I",457,294,76,118,65,35,124,32,13,0.27308533916849,124.8
"1056","SL-H-M","FB-H-M",343,243,67,87,60,29,73,22,15,0.372303206997085,127.7
"1057","SL-H-M","FB-H-O",692,429,122,163,100,44,184,73,12,0.308236994219653,213.3
"1058","SL-H-M","FB-L-I",356,246,61,117,47,21,84,19,7,0.28497191011236,101.45
"1059","SL-H-M","FB-L-M",193,127,22,66,35,4,45,20,5,0.339119170984456,65.45
"1060","SL-H-M","FB-L-O",401,275,70,118,68,19,80,44,14,0.362344139650873,145.3
"1061","SL-H-M","FB-M-I",346,236,64,103,47,22,91,16,12,0.31228323699422,108.05
"1062","SL-H-M","FB-M-M",204,150,50,47,47,6,42,9,8,0.373039215686275,76.1
"1063","SL-H-M","FB-M-O",418,264,59,127,67,11,102,49,6,0.310765550239234,129.9
"1064","SL-H-M","SL-H-I",466,318,79,125,71,43,107,35,9,0.284012875536481,132.35
"1065","SL-H-M","SL-H-M",283,203,46,76,56,25,58,20,9,0.320494699646643,90.7
"1066","SL-H-M","SL-H-O",303,181,30,83,45,23,82,38,7,0.324422442244224,98.3
"1067","SL-H-M","SL-L-I",651,409,110,185,85,29,184,49,26,0.30568356374808,199
"1068","SL-H-M","SL-L-M",266,176,40,83,45,8,73,16,6,0.282142857142857,75.05
"1069","SL-H-M","SL-L-O",193,106,18,55,28,5,64,21,5,0.294300518134715,56.8
"1070","SL-H-M","SL-M-I",431,319,77,128,76,38,94,16,16,0.326798143851508,140.85
"1071","SL-H-M","SL-M-M",186,130,32,56,33,9,48,6,5,0.262365591397849,48.8
"1072","SL-H-M","SL-M-O",225,135,39,55,30,11,78,9,12,0.296444444444444,66.7
"1073","SL-H-M",NA,1121,1121,329,419,227,146,0,0,53,0.366770740410348,411.15
"1074","SL-H-O","CB-H-I",22,15,3,9,2,1,6,1,0,0.381818181818182,8.4
"1075","SL-H-O","CB-H-M",44,32,7,18,4,3,8,4,1,0.35,15.4
"1076","SL-H-O","CB-H-O",186,123,36,48,28,11,47,16,6,0.354301075268817,65.9
"1077","SL-H-O","CB-L-I",185,123,20,60,40,3,46,16,4,0.374594594594595,69.3
"1078","SL-H-O","CB-L-M",141,104,31,44,24,5,28,9,8,0.357801418439716,50.45
"1079","SL-H-O","CB-L-O",198,121,28,60,29,4,61,16,5,0.278282828282828,55.1
"1080","SL-H-O","CB-M-I",22,11,1,6,4,0,10,1,0,0.154545454545455,3.4
"1081","SL-H-O","CB-M-M",51,35,5,19,7,4,12,4,0,0.202941176470588,10.35
"1082","SL-H-O","CB-M-O",161,110,21,55,26,8,38,12,5,0.293788819875776,47.3
"1083","SL-H-O","CH-H-I",26,19,3,7,6,3,5,2,0,0.275,7.15
"1084","SL-H-O","CH-H-M",69,54,15,21,11,7,10,4,3,0.283333333333333,19.55
"1085","SL-H-O","CH-H-O",521,342,98,139,80,25,88,90,12,0.345009596928983,179.75
"1086","SL-H-O","CH-L-I",279,178,57,60,45,16,55,45,15,0.396594982078853,110.65
"1087","SL-H-O","CH-L-M",433,285,53,126,85,21,100,47,10,0.333833718244804,144.55
"1088","SL-H-O","CH-L-O",963,660,131,329,155,45,202,96,24,0.30404984423676,292.8
"1089","SL-H-O","CH-M-I",40,28,8,11,7,2,9,2,2,0.29625,11.85
"1090","SL-H-O","CH-M-M",139,108,34,31,27,16,25,5,8,0.372661870503597,51.8
"1091","SL-H-O","CH-M-O",521,380,92,160,98,30,99,39,13,0.303166986564299,157.95
"1092","SL-H-O","FB-H-I",776,523,125,206,122,70,163,81,23,0.336662371134021,261.25
"1093","SL-H-O","FB-H-M",732,491,151,156,126,58,178,58,27,0.35792349726776,262
"1094","SL-H-O","FB-H-O",1985,1251,381,482,302,86,430,295,51,0.346448362720403,687.7
"1095","SL-H-O","FB-L-I",764,528,132,222,140,34,117,110,27,0.402028795811518,307.15
"1096","SL-H-O","FB-L-M",623,476,116,220,110,30,92,54,21,0.377046548956661,234.9
"1097","SL-H-O","FB-L-O",1253,902,217,430,209,46,203,142,30,0.357980845969673,448.55
"1098","SL-H-O","FB-M-I",598,419,115,159,93,52,126,49,16,0.300585284280936,179.75
"1099","SL-H-O","FB-M-M",526,403,127,129,110,37,94,25,27,0.389543726235741,204.9
"1100","SL-H-O","FB-M-O",1344,926,272,349,243,62,244,168,33,0.351078869047619,471.85
"1101","SL-H-O","SL-H-I",497,356,80,151,75,50,99,37,16,0.326458752515091,162.25
"1102","SL-H-O","SL-H-M",537,367,88,162,82,35,113,56,16,0.330540037243948,177.5
"1103","SL-H-O","SL-H-O",1215,765,223,299,176,67,260,185,33,0.344732510288066,418.85
"1104","SL-H-O","SL-L-I",1053,663,159,304,158,42,259,117,40,0.344871794871795,363.15
"1105","SL-H-O","SL-L-M",630,441,110,201,99,31,129,56,24,0.354444444444444,223.3
"1106","SL-H-O","SL-L-O",807,496,128,232,109,27,202,107,16,0.323234200743494,260.85
"1107","SL-H-O","SL-M-I",557,397,97,187,77,36,113,43,21,0.33491921005386,186.55
"1108","SL-H-O","SL-M-M",503,369,101,158,85,25,98,34,17,0.350596421471173,176.35
"1109","SL-H-O","SL-M-O",828,586,151,260,138,37,166,74,25,0.320893719806763,265.7
"1110","SL-H-O",NA,495,495,144,224,90,37,0,0,27,0.370606060606061,183.45
"1111","SL-L-I","CB-H-I",26,19,2,11,5,1,5,2,1,0.434615384615385,11.3
"1112","SL-L-I","CB-H-M",45,30,4,16,8,2,12,3,1,0.306666666666667,13.8
"1113","SL-L-I","CB-H-O",220,135,35,63,29,8,57,28,5,0.284090909090909,62.5
"1114","SL-L-I","CB-L-I",451,272,51,136,67,18,127,47,14,0.33880266075388,152.8
"1115","SL-L-I","CB-L-M",261,157,40,75,33,9,81,22,7,0.301915708812261,78.8
"1116","SL-L-I","CB-L-O",293,183,37,97,42,7,81,29,11,0.313481228668942,91.85
"1117","SL-L-I","CB-M-I",52,30,6,11,10,3,19,3,1,0.330769230769231,17.2
"1118","SL-L-I","CB-M-M",101,75,12,41,17,5,22,4,3,0.316336633663366,31.95
"1119","SL-L-I","CB-M-O",190,114,27,53,24,10,53,20,5,0.33,62.7
"1120","SL-L-I","CH-H-I",30,18,6,6,3,3,7,4,2,0.435,13.05
"1121","SL-L-I","CH-H-M",56,34,12,13,7,2,16,6,3,0.38125,21.35
"1122","SL-L-I","CH-H-O",577,379,107,156,92,24,102,93,20,0.357192374350087,206.1
"1123","SL-L-I","CH-L-I",602,385,100,167,94,24,114,101,22,0.408637873754153,246
"1124","SL-L-I","CH-L-M",840,563,130,268,143,22,183,86,24,0.354107142857143,297.45
"1125","SL-L-I","CH-L-O",1512,1001,206,510,230,55,333,172,45,0.337632275132275,510.5
"1126","SL-L-I","CH-M-I",80,58,17,24,11,6,17,5,4,0.33,26.4
