"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"493","CB-H-I","FB-L-I","CH-L-I",3,2,0,1,1,0,1,0,0,0.416666666666667,1.25
"494","CB-H-I","FB-L-I","CH-L-M",6,4,2,0,2,0,2,0,1,0.483333333333333,2.9
"495","CB-H-I","FB-L-I","CH-L-O",5,2,1,0,0,1,2,1,0,0.14,0.7
"496","CB-H-I","FB-L-I","CH-M-O",5,4,3,1,0,0,1,0,0,0,0
"497","CB-H-I","FB-L-I","FB-H-I",11,5,0,2,2,1,4,2,0,0.240909090909091,2.65
"498","CB-H-I","FB-L-I","FB-H-M",9,7,2,2,2,1,1,1,1,0.3,2.7
"499","CB-H-I","FB-L-I","FB-H-O",18,13,6,3,3,1,2,3,0,0.116666666666667,2.1
"500","CB-H-I","FB-L-I","FB-L-I",21,14,3,7,4,0,5,1,0,0.297619047619048,6.25
"501","CB-H-I","FB-L-I","FB-L-M",9,7,2,3,1,1,1,1,0,0.277777777777778,2.5
"502","CB-H-I","FB-L-I","FB-L-O",6,4,1,2,1,0,1,1,0,0.266666666666667,1.6
"503","CB-H-I","FB-L-I","FB-M-I",14,9,5,2,1,1,5,0,2,0.35,4.9
"504","CB-H-I","FB-L-I","FB-M-M",14,9,2,3,2,2,4,1,0,0.357142857142857,5
"505","CB-H-I","FB-L-I","FB-M-O",10,7,1,5,1,0,2,1,0,0.195,1.95
"506","CB-H-I","FB-L-I","SL-H-I",1,1,0,1,0,0,0,0,0,0,0
"507","CB-H-I","FB-L-I","SL-H-M",1,0,0,0,0,0,1,0,0,0,0
"508","CB-H-I","FB-L-I","SL-L-I",10,5,1,2,2,0,5,0,1,0.595,5.95
"509","CB-H-I","FB-L-I","SL-L-O",1,1,0,1,0,0,0,0,0,0.9,0.9
"510","CB-H-I","FB-L-I","SL-M-I",1,1,1,0,0,0,0,0,0,0,0
"511","CB-H-I","FB-L-I","SL-M-O",1,1,0,1,0,0,0,0,0,0,0
"512","CB-H-I","FB-L-I",NA,16,16,3,5,7,1,0,0,1,0.29375,4.7
"513","CB-H-I","FB-L-M","CB-H-M",3,1,0,0,1,0,1,1,0,0.65,1.95
"514","CB-H-I","FB-L-M","CB-L-I",6,4,1,2,0,1,2,0,0,0,0
"515","CB-H-I","FB-L-M","CB-L-M",3,2,0,1,1,0,1,0,0,0.3,0.9
"516","CB-H-I","FB-L-M","CB-L-O",2,1,0,0,1,0,1,0,0,0.45,0.9
"517","CB-H-I","FB-L-M","CB-M-I",4,2,0,1,1,0,2,0,0,0.5375,2.15
"518","CB-H-I","FB-L-M","CB-M-M",2,2,0,1,1,0,0,0,0,0.8,1.6
"519","CB-H-I","FB-L-M","CB-M-O",2,1,0,1,0,0,1,0,0,0,0
"520","CB-H-I","FB-L-M","CH-H-M",1,0,0,0,0,0,0,1,0,0.7,0.7
"521","CB-H-I","FB-L-M","CH-H-O",1,1,0,0,1,0,0,0,0,0.9,0.9
"522","CB-H-I","FB-L-M","CH-L-I",1,1,0,1,0,0,0,0,0,0.9,0.9
"523","CB-H-I","FB-L-M","CH-L-M",1,0,0,0,0,0,1,0,0,0,0
"524","CB-H-I","FB-L-M","CH-L-O",6,4,0,2,2,0,2,0,0,0.3,1.8
"525","CB-H-I","FB-L-M","CH-M-I",1,0,0,0,0,0,1,0,0,0,0
"526","CB-H-I","FB-L-M","CH-M-O",3,3,1,2,0,0,0,0,0,0.3,0.9
"527","CB-H-I","FB-L-M","FB-H-I",5,3,2,0,0,1,1,1,1,0.54,2.7
"528","CB-H-I","FB-L-M","FB-H-M",2,2,2,0,0,0,0,0,0,0,0
"529","CB-H-I","FB-L-M","FB-H-O",8,3,3,0,0,0,5,0,0,0.15625,1.25
"530","CB-H-I","FB-L-M","FB-L-I",1,0,0,0,0,0,1,0,0,0,0
"531","CB-H-I","FB-L-M","FB-L-M",1,0,0,0,0,0,1,0,0,0,0
"532","CB-H-I","FB-L-M","FB-L-O",10,6,0,4,2,0,2,2,0,0.14,1.4
"533","CB-H-I","FB-L-M","FB-M-I",3,3,0,3,0,0,0,0,0,0,0
"534","CB-H-I","FB-L-M","FB-M-M",5,1,1,0,0,0,2,2,0,0.28,1.4
"535","CB-H-I","FB-L-M","FB-M-O",1,1,0,0,1,0,0,0,0,0.9,0.9
"536","CB-H-I","FB-L-M","SL-H-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"537","CB-H-I","FB-L-M","SL-L-I",5,4,0,1,2,1,1,0,0,0.18,0.9
"538","CB-H-I","FB-L-M","SL-L-M",2,1,0,0,1,0,1,0,0,0.45,0.9
"539","CB-H-I","FB-L-M","SL-L-O",1,1,1,0,0,0,0,0,0,0,0
"540","CB-H-I","FB-L-M","SL-M-I",1,1,0,0,0,1,0,0,0,1.25,1.25
"541","CB-H-I","FB-L-M","SL-M-M",3,1,1,0,0,0,2,0,0,0,0
"542","CB-H-I","FB-L-M",NA,26,26,5,12,8,1,0,0,0,0.255769230769231,6.65
"543","CB-H-I","FB-L-O","CB-H-I",3,1,0,0,1,0,2,0,0,0.3,0.9
"544","CB-H-I","FB-L-O","CB-H-O",4,4,2,2,0,0,0,0,0,0.225,0.9
"545","CB-H-I","FB-L-O","CB-L-I",10,3,0,3,0,0,4,2,0,0.21,2.1
"546","CB-H-I","FB-L-O","CB-L-M",3,2,0,0,1,1,0,1,0,0.533333333333333,1.6
"547","CB-H-I","FB-L-O","CB-L-O",2,2,1,0,1,0,0,0,0,0.45,0.9
"548","CB-H-I","FB-L-O","CB-M-M",3,3,1,2,0,0,0,0,0,0,0
"549","CB-H-I","FB-L-O","CB-M-O",1,1,0,1,0,0,0,0,0,0,0
"550","CB-H-I","FB-L-O","CH-H-M",2,2,1,1,0,0,0,0,0,0.45,0.9
"551","CB-H-I","FB-L-O","CH-H-O",1,1,0,0,0,1,0,0,0,0,0
"552","CB-H-I","FB-L-O","CH-L-I",3,3,1,2,0,0,0,0,0,0.416666666666667,1.25
"553","CB-H-I","FB-L-O","CH-L-M",6,3,0,2,1,0,3,0,0,0,0
"554","CB-H-I","FB-L-O","CH-L-O",8,4,0,1,3,0,2,2,0,0.44375,3.55
"555","CB-H-I","FB-L-O","CH-M-O",2,1,1,0,0,0,1,0,0,0,0
"556","CB-H-I","FB-L-O","FB-H-I",7,5,1,3,1,0,1,1,0,0.228571428571429,1.6
"557","CB-H-I","FB-L-O","FB-H-M",8,6,3,1,2,0,2,0,0,0.38125,3.05
"558","CB-H-I","FB-L-O","FB-H-O",9,6,1,3,1,1,1,2,0,0.394444444444444,3.55
"559","CB-H-I","FB-L-O","FB-L-I",3,1,0,0,1,0,0,2,0,0.466666666666667,1.4
"560","CB-H-I","FB-L-O","FB-L-M",5,4,0,4,0,0,0,1,0,0.14,0.7
"561","CB-H-I","FB-L-O","FB-L-O",8,5,1,4,0,0,3,0,0,0.225,1.8
"562","CB-H-I","FB-L-O","FB-M-I",9,6,1,2,3,0,2,0,1,0.516666666666667,4.65
"563","CB-H-I","FB-L-O","FB-M-M",2,0,0,0,0,0,1,1,0,0.35,0.7
"564","CB-H-I","FB-L-O","FB-M-O",15,11,4,5,2,0,3,1,0,0.346666666666667,5.2
"565","CB-H-I","FB-L-O","SL-H-I",2,1,0,0,0,1,1,0,0,0,0
"566","CB-H-I","FB-L-O","SL-H-M",2,1,0,0,1,0,1,0,0,0.45,0.9
"567","CB-H-I","FB-L-O","SL-L-I",9,5,0,1,4,0,2,2,0,0.533333333333333,4.8
"568","CB-H-I","FB-L-O","SL-L-M",2,1,1,0,0,0,0,1,1,1.35,2.7
"569","CB-H-I","FB-L-O",NA,26,26,4,12,9,1,0,0,0,0.325,8.45
"570","CB-H-I","FB-M-I","CB-H-M",1,0,0,0,0,0,1,0,0,0,0
"571","CB-H-I","FB-M-I","CB-H-O",2,1,0,1,0,0,0,1,0,0.975,1.95
"572","CB-H-I","FB-M-I","CB-L-I",10,2,1,0,1,0,8,0,0,0.125,1.25
"573","CB-H-I","FB-M-I","CB-L-O",1,1,0,1,0,0,0,0,0,0,0
"574","CB-H-I","FB-M-I","CB-M-M",4,4,0,1,2,1,0,0,0,0.675,2.7
"575","CB-H-I","FB-M-I","CB-M-O",2,2,1,0,1,0,0,0,0,0.45,0.9
"576","CB-H-I","FB-M-I","CH-H-O",2,2,2,0,0,0,0,0,1,1,2
"577","CB-H-I","FB-M-I","CH-L-I",7,5,0,2,2,1,1,1,0,0.357142857142857,2.5
"578","CB-H-I","FB-M-I","CH-L-M",6,4,1,0,3,0,2,0,0,0.15,0.9
"579","CB-H-I","FB-M-I","CH-L-O",4,3,0,3,0,0,1,0,0,0.45,1.8
"580","CB-H-I","FB-M-I","CH-M-I",1,1,1,0,0,0,0,0,0,0,0
"581","CB-H-I","FB-M-I","CH-M-M",1,0,0,0,0,0,1,0,0,0,0
"582","CB-H-I","FB-M-I","FB-H-I",13,7,2,1,2,2,3,2,1,0.384615384615385,5
"583","CB-H-I","FB-M-I","FB-H-M",4,1,0,0,0,1,2,1,0,0.175,0.7
"584","CB-H-I","FB-M-I","FB-H-O",13,5,0,1,3,1,6,2,0,0.176923076923077,2.3
"585","CB-H-I","FB-M-I","FB-L-I",4,2,1,1,0,0,1,1,0,0.4875,1.95
"586","CB-H-I","FB-M-I","FB-L-M",5,3,1,1,1,0,1,1,0,0.32,1.6
"587","CB-H-I","FB-M-I","FB-L-O",4,4,0,4,0,0,0,0,0,0,0
"588","CB-H-I","FB-M-I","FB-M-I",10,5,1,1,3,0,5,0,0,0.43,4.3
"589","CB-H-I","FB-M-I","FB-M-M",2,2,0,1,1,0,0,0,0,0.9,1.8
"590","CB-H-I","FB-M-I","FB-M-O",2,2,0,2,0,0,0,0,0,0,0
"591","CB-H-I","FB-M-I","SL-H-I",2,0,0,0,0,0,2,0,0,0,0
"592","CB-H-I","FB-M-I","SL-H-M",2,2,1,1,0,0,0,0,0,0,0
"593","CB-H-I","FB-M-I","SL-L-I",8,4,0,3,1,0,2,2,0,0.4,3.2
"594","CB-H-I","FB-M-I","SL-L-O",1,1,0,1,0,0,0,0,0,0,0
"595","CB-H-I","FB-M-I","SL-M-M",1,1,1,0,0,0,0,0,0,0,0
"596","CB-H-I","FB-M-I","SL-M-O",1,1,0,0,1,0,0,0,0,0,0
"597","CB-H-I","FB-M-I",NA,31,31,11,11,6,3,0,0,2,0.453225806451613,14.05
"598","CB-H-I","FB-M-M","CB-H-I",1,1,1,0,0,0,0,0,0,0,0
"599","CB-H-I","FB-M-M","CB-H-O",3,3,1,0,2,0,0,0,0,0.716666666666667,2.15
"600","CB-H-I","FB-M-M","CB-L-I",10,4,1,3,0,0,4,1,0,0.41,4.1
"601","CB-H-I","FB-M-M","CB-L-M",1,1,0,1,0,0,0,0,0,0,0
"602","CB-H-I","FB-M-M","CB-L-O",1,1,0,1,0,0,0,0,0,0.9,0.9
"603","CB-H-I","FB-M-M","CH-L-I",2,1,0,0,1,0,1,0,0,0.625,1.25
"604","CB-H-I","FB-M-M","CH-L-O",2,2,0,2,0,0,0,0,0,0,0
"605","CB-H-I","FB-M-M","CH-M-M",1,1,0,1,0,0,0,0,0,0,0
"606","CB-H-I","FB-M-M","CH-M-O",1,1,0,1,0,0,0,0,0,0,0
"607","CB-H-I","FB-M-M","FB-H-I",6,3,2,1,0,0,3,0,0,0.15,0.9
"608","CB-H-I","FB-M-M","FB-H-M",2,1,1,0,0,0,1,0,0,0,0
"609","CB-H-I","FB-M-M","FB-H-O",4,2,0,1,1,0,2,0,0,0.225,0.9
