"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"691","CB-H-I","FB-L-O","CB-H-I",17,10,3,4,3,0,7,0,0,0.232352941176471,3.95
"692","CB-H-I","FB-L-O","CB-H-M",8,5,2,2,1,0,1,2,0,0.53125,4.25
"693","CB-H-I","FB-L-O","CB-H-O",5,5,1,4,0,0,0,0,0,0,0
"694","CB-H-I","FB-L-O","CB-L-I",8,4,0,4,0,0,3,1,0,0.3125,2.5
"695","CB-H-I","FB-L-O","CB-L-M",16,11,3,6,1,1,5,0,0,0.16875,2.7
"696","CB-H-I","FB-L-O","CB-L-O",50,27,3,16,6,2,20,3,0,0.182,9.1
"697","CB-H-I","FB-L-O","CB-M-I",8,6,1,2,2,1,2,0,0,0.3125,2.5
"698","CB-H-I","FB-L-O","CB-M-M",8,6,1,3,1,1,2,0,0,0.15625,1.25
"699","CB-H-I","FB-L-O","CB-M-O",12,7,3,3,1,0,4,1,1,0.5375,6.45
"700","CB-H-I","FB-L-O","CH-H-I",9,4,0,2,1,1,2,2,0,0.372222222222222,3.35
"701","CB-H-I","FB-L-O","CH-H-M",1,1,0,0,0,1,0,0,0,0,0
"702","CB-H-I","FB-L-O","CH-H-O",2,2,1,1,0,0,0,0,1,1,2
"703","CB-H-I","FB-L-O","CH-L-I",7,4,3,1,0,0,3,0,0,0.128571428571429,0.9
"704","CB-H-I","FB-L-O","CH-L-M",10,6,3,1,2,0,4,0,2,0.615,6.15
"705","CB-H-I","FB-L-O","CH-L-O",14,10,2,5,2,1,4,0,1,0.335714285714286,4.7
"706","CB-H-I","FB-L-O","CH-M-I",7,4,1,3,0,0,3,0,0,0,0
"707","CB-H-I","FB-L-O","CH-M-M",5,4,0,2,1,1,0,1,0,0.32,1.6
"708","CB-H-I","FB-L-O","CH-M-O",3,3,0,3,0,0,0,0,0,0.3,0.9
